Municipio,Delitos,Año,Periodo Trimestral,Trimestre,Provincia,Total,Valor trimestral,Poblacion
Sant Adrià de Besòs,Secuestro,2019,Enero-Marzo,1,Barcelona,0,0.0,37097
Sant Adrià de Besòs,Secuestro,2019,Enero-Junio,2,Barcelona,0,0.0,37097
Sant Adrià de Besòs,Secuestro,2019,Enero-Septiembre,3,Barcelona,0,0.0,37097
Sant Adrià de Besòs,Secuestro,2019,Enero-Diciembre,4,Barcelona,0,0.0,37097
Sant Adrià de Besòs,Secuestro,2020,Enero-Marzo,1,Barcelona,0,0.0,37447
Sant Adrià de Besòs,Secuestro,2020,Enero-Junio,2,Barcelona,0,0.0,37447
Sant Adrià de Besòs,Secuestro,2020,Enero-Septiembre,3,Barcelona,0,0.0,37447
Sant Adrià de Besòs,Secuestro,2020,Enero-Diciembre,4,Barcelona,0,0.0,37447
Sant Adrià de Besòs,Secuestro,2021,Enero-Marzo,1,Barcelona,0,0.0,37283
Sant Adrià de Besòs,Secuestro,2021,Enero-Junio,2,Barcelona,0,0.0,37283
Sant Adrià de Besòs,Secuestro,2021,Enero-Septiembre,3,Barcelona,0,0.0,37283
Sant Adrià de Besòs,Secuestro,2021,Enero-Diciembre,4,Barcelona,0,0.0,37283
Sant Adrià de Besòs,Secuestro,2022,Enero-Marzo,1,Barcelona,0,0.0,36918
Sant Adrià de Besòs,Secuestro,2022,Enero-Junio,2,Barcelona,0,0.0,36918
Sant Adrià de Besòs,Secuestro,2022,Enero-Septiembre,3,Barcelona,0,0.0,36918
Sant Adrià de Besòs,Secuestro,2022,Enero-Diciembre,4,Barcelona,0,0.0,36918
Sant Adrià de Besòs,Secuestro,2023,Enero-Marzo,1,Barcelona,0,0.0,37925
Sant Adrià de Besòs,Secuestro,2023,Enero-Junio,2,Barcelona,0,0.0,37925
Sant Adrià de Besòs,Secuestro,2023,Enero-Septiembre,3,Barcelona,0,0.0,37925
Sant Adrià de Besòs,Secuestro,2023,Enero-Diciembre,4,Barcelona,0,0.0,37925
Sant Adrià de Besòs,Secuestro,2024,Enero-Marzo,1,Barcelona,0,0.0,38490
Sant Adrià de Besòs,Secuestro,2024,Enero-Junio,2,Barcelona,1,1.0,38490
Sant Adrià de Besòs,Secuestro,2024,Enero-Septiembre,3,Barcelona,1,0.0,38490
Sant Adrià de Besòs,Secuestro,2024,Enero-Diciembre,4,Barcelona,1,0.0,38490
Sant Adrià de Besòs,Secuestro,2025,Enero-Marzo,1,Barcelona,0,0.0,39323
Sant Adrià de Besòs,Secuestro,2025,Enero-Junio,2,Barcelona,0,0.0,39323
Sant Adrià de Besòs,Secuestro,2025,Enero-Septiembre,3,Barcelona,0,0.0,39323
Sant Adrià de Besòs,Sustraccion De Vehiculos,2017,Enero-Marzo,1,Barcelona,17,17.0,36624
Sant Adrià de Besòs,Sustraccion De Vehiculos,2017,Enero-Junio,2,Barcelona,30,13.0,36624
Sant Adrià de Besòs,Sustraccion De Vehiculos,2017,Enero-Septiembre,3,Barcelona,59,29.0,36624
Sant Adrià de Besòs,Sustraccion De Vehiculos,2017,Enero-Diciembre,4,Barcelona,70,11.0,36624
Sant Adrià de Besòs,Sustraccion De Vehiculos,2018,Enero-Marzo,1,Barcelona,25,25.0,36669
Sant Adrià de Besòs,Sustraccion De Vehiculos,2018,Enero-Junio,2,Barcelona,53,28.0,36669
Sant Adrià de Besòs,Sustraccion De Vehiculos,2018,Enero-Septiembre,3,Barcelona,87,34.0,36669
Sant Adrià de Besòs,Sustraccion De Vehiculos,2018,Enero-Diciembre,4,Barcelona,105,18.0,36669
Sant Adrià de Besòs,Sustraccion De Vehiculos,2019,Enero-Marzo,1,Barcelona,30,30.0,37097
